"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
24,32,0.01,0.5,302,860,238,0.259896729776248,0.559259259259259,0.354876615746181
26,32,0.01,0.5,294,756,246,0.28,0.544444444444444,0.369811320754717
28,32,0.01,0.5,290,686,250,0.297131147540984,0.537037037037037,0.382585751978892
20,34,0.01,0.5,306,1033,234,0.228528752800597,0.566666666666667,0.325705162320383
22,34,0.01,0.5,310,917,230,0.252648736756316,0.574074074074074,0.350877192982456
24,34,0.01,0.5,307,814,233,0.273862622658341,0.568518518518519,0.369656833232992
26,34,0.01,0.5,301,783,239,0.277675276752768,0.557407407407407,0.370689655172414
28,34,0.01,0.5,298,699,242,0.298896690070211,0.551851851851852,0.387768379960963
20,36,0.01,0.5,317,1075,223,0.227729885057471,0.587037037037037,0.32815734989648
22,36,0.01,0.5,318,943,222,0.25218080888184,0.588888888888889,0.353137146029983
24,36,0.01,0.5,318,844,222,0.273666092943201,0.588888888888889,0.373678025851939
26,36,0.01,0.5,308,764,232,0.287313432835821,0.57037037037037,0.382133995037221
28,36,0.01,0.5,307,744,233,0.292102759276879,0.568518518518519,0.385920804525456
20,38,0.01,0.5,326,1007,214,0.244561140285071,0.603703703703704,0.348104644954618
22,38,0.01,0.5,321,963,219,0.25,0.594444444444444,0.351973684210526
24,38,0.01,0.5,319,862,221,0.270110076206605,0.590740740740741,0.370714700755375
26,38,0.01,0.5,315,777,225,0.288461538461538,0.583333333333333,0.386029411764706
28,38,0.01,0.5,304,691,236,0.305527638190955,0.562962962962963,0.396091205211726
20,40,0.01,0.5,320,999,220,0.242608036391205,0.592592592592593,0.344271113501883
22,40,0.01,0.5,324,920,216,0.260450160771704,0.6,0.36322869955157
24,40,0.01,0.5,320,886,220,0.265339966832504,0.592592592592593,0.366552119129439
26,40,0.01,0.5,311,801,229,0.279676258992806,0.575925925925926,0.376513317191283
28,40,0.01,0.5,310,719,230,0.301263362487852,0.574074074074074,0.395156150414277
20,32,0.015,0.5,159,269,381,0.371495327102804,0.294444444444444,0.328512396694215
22,32,0.015,0.5,156,214,384,0.421621621621622,0.288888888888889,0.342857142857143
24,32,0.015,0.5,158,210,382,0.429347826086957,0.292592592592593,0.348017621145374
26,32,0.015,0.5,153,185,387,0.452662721893491,0.283333333333333,0.348519362186788
28,32,0.015,0.5,143,167,397,0.461290322580645,0.264814814814815,0.336470588235294
20,34,0.015,0.5,180,273,360,0.397350993377483,0.333333333333333,0.362537764350453
22,34,0.015,0.5,181,241,359,0.428909952606635,0.335185185185185,0.376299376299376
24,34,0.015,0.5,181,201,359,0.473821989528796,0.335185185185185,0.392624728850325
26,34,0.015,0.5,176,194,364,0.475675675675676,0.325925925925926,0.386813186813187
28,34,0.015,0.5,166,173,374,0.489675516224189,0.307407407407407,0.377701934015927
20,36,0.015,0.5,189,286,351,0.397894736842105,0.35,0.372413793103448
22,36,0.015,0.5,189,244,351,0.4364896073903,0.35,0.388489208633093
24,36,0.015,0.5,192,219,348,0.467153284671533,0.355555555555556,0.403785488958991
26,36,0.015,0.5,181,187,359,0.491847826086957,0.335185185185185,0.398678414096916
28,36,0.015,0.5,175,178,365,0.495750708215297,0.324074074074074,0.391937290033595
20,38,0.015,0.5,197,275,343,0.417372881355932,0.364814814814815,0.389328063241107
22,38,0.015,0.5,197,254,343,0.436807095343681,0.364814814814815,0.397578203834511
24,38,0.015,0.5,199,224,341,0.470449172576832,0.368518518518519,0.413291796469367
26,38,0.015,0.5,191,204,349,0.483544303797468,0.353703703703704,0.40855614973262
28,38,0.015,0.5,181,181,359,0.5,0.335185185185185,0.401330376940133
20,40,0.015,0.5,204,283,336,0.418891170431211,0.377777777777778,0.397273612463486
22,40,0.015,0.5,202,245,338,0.451901565995526,0.374074074074074,0.409321175278622
24,40,0.015,0.5,203,233,337,0.465596330275229,0.375925925925926,0.415983606557377
26,40,0.015,0.5,197,212,343,0.481662591687042,0.364814814814815,0.415173867228662
28,40,0.015,0.5,188,191,352,0.496042216358839,0.348148148148148,0.409140369967356
20,32,0.02,0.5,67,74,473,0.475177304964539,0.124074074074074,0.196769456681351
22,32,0.02,0.5,66,62,474,0.515625,0.122222222222222,0.197604790419162
24,32,0.02,0.5,66,61,474,0.519685039370079,0.122222222222222,0.197901049475262
26,32,0.02,0.5,63,57,477,0.525,0.116666666666667,0.190909090909091
28,32,0.02,0.5,58,46,482,0.557692307692308,0.107407407407407,0.180124223602484
20,34,0.02,0.5,82,70,458,0.539473684210526,0.151851851851852,0.236994219653179
22,34,0.02,0.5,84,62,456,0.575342465753425,0.155555555555556,0.244897959183673
24,34,0.02,0.5,80,56,460,0.588235294117647,0.148148148148148,0.236686390532544
26,34,0.02,0.5,81,57,459,0.58695652173913,0.15,0.238938053097345
28,34,0.02,0.5,75,47,465,0.614754098360656,0.138888888888889,0.226586102719033
20,36,0.02,0.5,99,73,441,0.575581395348837,0.183333333333333,0.278089887640449
22,36,0.02,0.5,100,59,440,0.628930817610063,0.185185185185185,0.286123032904149
24,36,0.02,0.5,99,63,441,0.611111111111111,0.183333333333333,0.282051282051282
26,36,0.02,0.5,94,51,446,0.648275862068965,0.174074074074074,0.274452554744526
28,36,0.02,0.5,92,45,448,0.671532846715328,0.17037037037037,0.27178729689808
20,38,0.02,0.5,108,75,432,0.590163934426229,0.2,0.298755186721992
22,38,0.02,0.5,106,63,434,0.627218934911243,0.196296296296296,0.29901269393512
24,38,0.02,0.5,102,62,438,0.621951219512195,0.188888888888889,0.289772727272727
26,38,0.02,0.5,104,57,436,0.645962732919255,0.192592592592593,0.296718972895863
28,38,0.02,0.5,97,49,443,0.664383561643836,0.17962962962963,0.282798833819242
20,40,0.02,0.5,108,73,432,0.596685082872928,0.2,0.299583911234397
22,40,0.02,0.5,114,65,426,0.636871508379888,0.211111111111111,0.317107093184979
24,40,0.02,0.5,110,64,430,0.632183908045977,0.203703703703704,0.30812324929972
26,40,0.02,0.5,105,58,435,0.644171779141104,0.194444444444444,0.298719772403983
28,40,0.02,0.5,105,50,435,0.67741935483871,0.194444444444444,0.302158273381295
20,32,0.025,0.5,26,29,514,0.472727272727273,0.0481481481481481,0.0873949579831933
22,32,0.025,0.5,23,25,517,0.479166666666667,0.0425925925925926,0.0782312925170068
24,32,0.025,0.5,24,22,516,0.521739130434783,0.0444444444444444,0.0819112627986348
26,32,0.025,0.5,24,23,516,0.51063829787234,0.0444444444444444,0.0817717206132879
28,32,0.025,0.5,23,18,517,0.560975609756098,0.0425925925925926,0.0791738382099828
20,34,0.025,0.5,27,33,513,0.45,0.05,0.09
22,34,0.025,0.5,27,29,513,0.482142857142857,0.05,0.0906040268456376
24,34,0.025,0.5,26,25,514,0.509803921568627,0.0481481481481481,0.0879864636209814
26,34,0.025,0.5,25,26,515,0.490196078431373,0.0462962962962963,0.0846023688663282
28,34,0.025,0.5,25,21,515,0.543478260869565,0.0462962962962963,0.0853242320819113
20,36,0.025,0.5,34,34,506,0.5,0.062962962962963,0.111842105263158
22,36,0.025,0.5,34,28,506,0.548387096774194,0.062962962962963,0.112956810631229
24,36,0.025,0.5,34,26,506,0.566666666666667,0.062962962962963,0.113333333333333
26,36,0.025,0.5,33,25,507,0.568965517241379,0.0611111111111111,0.110367892976589
28,36,0.025,0.5,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
20,38,0.025,0.5,36,34,504,0.514285714285714,0.0666666666666667,0.118032786885246
22,38,0.025,0.5,37,27,503,0.578125,0.0685185185185185,0.122516556291391
24,38,0.025,0.5,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
26,38,0.025,0.5,35,28,505,0.555555555555556,0.0648148148148148,0.116086235489221
28,38,0.025,0.5,30,18,510,0.625,0.0555555555555556,0.102040816326531
20,40,0.025,0.5,33,31,507,0.515625,0.0611111111111111,0.109271523178808
22,40,0.025,0.5,38,31,502,0.550724637681159,0.0703703703703704,0.124794745484401
24,40,0.025,0.5,33,23,507,0.589285714285714,0.0611111111111111,0.110738255033557
26,40,0.025,0.5,35,25,505,0.583333333333333,0.0648148148148148,0.116666666666667
28,40,0.025,0.5,35,23,505,0.603448275862069,0.0648148148148148,0.117056856187291
20,32,0.03,0.5,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
22,32,0.03,0.5,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
24,32,0.03,0.5,5,11,535,0.3125,0.00925925925925926,0.0179856115107914
26,32,0.03,0.5,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
28,32,0.03,0.5,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
20,34,0.03,0.5,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
22,34,0.03,0.5,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
24,34,0.03,0.5,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
26,34,0.03,0.5,6,7,534,0.461538461538462,0.0111111111111111,0.0216998191681736
28,34,0.03,0.5,6,8,534,0.428571428571429,0.0111111111111111,0.0216606498194946
20,36,0.03,0.5,9,9,531,0.5,0.0166666666666667,0.032258064516129
22,36,0.03,0.5,9,10,531,0.473684210526316,0.0166666666666667,0.0322003577817531
24,36,0.03,0.5,9,11,531,0.45,0.0166666666666667,0.0321428571428571
26,36,0.03,0.5,8,8,532,0.5,0.0148148148148148,0.0287769784172662
28,36,0.03,0.5,8,7,532,0.533333333333333,0.0148148148148148,0.0288288288288288
20,38,0.03,0.5,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
22,38,0.03,0.5,10,10,530,0.5,0.0185185185185185,0.0357142857142857
24,38,0.03,0.5,9,12,531,0.428571428571429,0.0166666666666667,0.0320855614973262
26,38,0.03,0.5,9,9,531,0.5,0.0166666666666667,0.032258064516129
28,38,0.03,0.5,8,9,532,0.470588235294118,0.0148148148148148,0.0287253141831239
20,40,0.03,0.5,10,9,530,0.526315789473684,0.0185185185185185,0.035778175313059
22,40,0.03,0.5,11,11,529,0.5,0.0203703703703704,0.0391459074733096
24,40,0.03,0.5,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
26,40,0.03,0.5,9,8,531,0.529411764705882,0.0166666666666667,0.0323159784560144
28,40,0.03,0.5,10,8,530,0.555555555555556,0.0185185185185185,0.03584229390681
