"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
20,40,0.01,0.4,301,875,239,0.255952380952381,0.557407407407407,0.350815850815851
22,40,0.01,0.4,314,824,226,0.275922671353251,0.581481481481481,0.374255065554231
24,40,0.01,0.4,313,768,227,0.2895467160037,0.57962962962963,0.386181369524985
26,40,0.01,0.4,297,695,243,0.299395161290323,0.55,0.387728459530026
28,40,0.01,0.4,290,622,250,0.317982456140351,0.537037037037037,0.399449035812672
20,32,0.015,0.4,158,260,382,0.37799043062201,0.292592592592593,0.329853862212944
22,32,0.015,0.4,156,206,384,0.430939226519337,0.288888888888889,0.34589800443459
24,32,0.015,0.4,157,205,383,0.433701657458564,0.290740740740741,0.348115299334812
26,32,0.015,0.4,153,182,387,0.456716417910448,0.283333333333333,0.349714285714286
28,32,0.015,0.4,143,164,397,0.465798045602606,0.264814814814815,0.337662337662338
20,34,0.015,0.4,179,266,361,0.402247191011236,0.331481481481481,0.363451776649746
22,34,0.015,0.4,180,228,360,0.441176470588235,0.333333333333333,0.379746835443038
24,34,0.015,0.4,181,195,359,0.481382978723404,0.335185185185185,0.395196506550218
26,34,0.015,0.4,176,191,364,0.479564032697548,0.325925925925926,0.388092613009923
28,34,0.015,0.4,164,169,376,0.492492492492492,0.303703703703704,0.375715922107675
20,36,0.015,0.4,188,270,352,0.410480349344978,0.348148148148148,0.376753507014028
22,36,0.015,0.4,189,231,351,0.45,0.35,0.39375
24,36,0.015,0.4,189,207,351,0.477272727272727,0.35,0.403846153846154
26,36,0.015,0.4,179,182,361,0.49584487534626,0.331481481481481,0.397336293007769
28,36,0.015,0.4,174,173,366,0.501440922190202,0.322222222222222,0.392333709131905
20,38,0.015,0.4,197,265,343,0.426406926406926,0.364814814814815,0.393213572854291
22,38,0.015,0.4,197,235,343,0.456018518518519,0.364814814814815,0.405349794238683
24,38,0.015,0.4,199,207,341,0.490147783251232,0.368518518518519,0.420718816067653
26,38,0.015,0.4,190,191,350,0.498687664041995,0.351851851851852,0.412595005428882
28,38,0.015,0.4,180,173,360,0.509915014164306,0.333333333333333,0.403135498320269
20,40,0.015,0.4,200,262,340,0.432900432900433,0.37037037037037,0.399201596806387
22,40,0.015,0.4,202,234,338,0.463302752293578,0.374074074074074,0.413934426229508
24,40,0.015,0.4,202,217,338,0.482100238663485,0.374074074074074,0.421272158498436
26,40,0.015,0.4,194,197,346,0.49616368286445,0.359259259259259,0.416756176154672
28,40,0.015,0.4,187,178,353,0.512328767123288,0.346296296296296,0.413259668508287
20,32,0.02,0.4,67,73,473,0.478571428571429,0.124074074074074,0.197058823529412
22,32,0.02,0.4,66,62,474,0.515625,0.122222222222222,0.197604790419162
24,32,0.02,0.4,66,60,474,0.523809523809524,0.122222222222222,0.198198198198198
26,32,0.02,0.4,63,56,477,0.529411764705882,0.116666666666667,0.191198786039454
28,32,0.02,0.4,58,46,482,0.557692307692308,0.107407407407407,0.180124223602484
20,34,0.02,0.4,82,69,458,0.543046357615894,0.151851851851852,0.237337192474674
22,34,0.02,0.4,84,61,456,0.579310344827586,0.155555555555556,0.245255474452555
24,34,0.02,0.4,80,56,460,0.588235294117647,0.148148148148148,0.236686390532544
26,34,0.02,0.4,81,56,459,0.591240875912409,0.15,0.239290989660266
28,34,0.02,0.4,75,47,465,0.614754098360656,0.138888888888889,0.226586102719033
20,36,0.02,0.4,99,72,441,0.578947368421053,0.183333333333333,0.278481012658228
22,36,0.02,0.4,100,59,440,0.628930817610063,0.185185185185185,0.286123032904149
24,36,0.02,0.4,98,62,442,0.6125,0.181481481481481,0.28
26,36,0.02,0.4,93,51,447,0.645833333333333,0.172222222222222,0.271929824561404
28,36,0.02,0.4,92,45,448,0.671532846715328,0.17037037037037,0.27178729689808
20,38,0.02,0.4,108,74,432,0.593406593406593,0.2,0.299168975069252
22,38,0.02,0.4,106,63,434,0.627218934911243,0.196296296296296,0.29901269393512
24,38,0.02,0.4,102,62,438,0.621951219512195,0.188888888888889,0.289772727272727
26,38,0.02,0.4,103,57,437,0.64375,0.190740740740741,0.294285714285714
28,38,0.02,0.4,96,48,444,0.666666666666667,0.177777777777778,0.280701754385965
20,40,0.02,0.4,108,72,432,0.6,0.2,0.3
22,40,0.02,0.4,114,65,426,0.636871508379888,0.211111111111111,0.317107093184979
24,40,0.02,0.4,110,64,430,0.632183908045977,0.203703703703704,0.30812324929972
26,40,0.02,0.4,104,58,436,0.641975308641975,0.192592592592593,0.296296296296296
28,40,0.02,0.4,104,50,436,0.675324675324675,0.192592592592593,0.29971181556196
20,32,0.025,0.4,26,29,514,0.472727272727273,0.0481481481481481,0.0873949579831933
22,32,0.025,0.4,23,25,517,0.479166666666667,0.0425925925925926,0.0782312925170068
24,32,0.025,0.4,24,22,516,0.521739130434783,0.0444444444444444,0.0819112627986348
26,32,0.025,0.4,24,23,516,0.51063829787234,0.0444444444444444,0.0817717206132879
28,32,0.025,0.4,23,18,517,0.560975609756098,0.0425925925925926,0.0791738382099828
20,34,0.025,0.4,27,33,513,0.45,0.05,0.09
22,34,0.025,0.4,27,29,513,0.482142857142857,0.05,0.0906040268456376
24,34,0.025,0.4,26,25,514,0.509803921568627,0.0481481481481481,0.0879864636209814
26,34,0.025,0.4,25,26,515,0.490196078431373,0.0462962962962963,0.0846023688663282
28,34,0.025,0.4,25,21,515,0.543478260869565,0.0462962962962963,0.0853242320819113
20,36,0.025,0.4,34,34,506,0.5,0.062962962962963,0.111842105263158
22,36,0.025,0.4,34,28,506,0.548387096774194,0.062962962962963,0.112956810631229
24,36,0.025,0.4,34,26,506,0.566666666666667,0.062962962962963,0.113333333333333
26,36,0.025,0.4,33,25,507,0.568965517241379,0.0611111111111111,0.110367892976589
28,36,0.025,0.4,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
20,38,0.025,0.4,36,34,504,0.514285714285714,0.0666666666666667,0.118032786885246
22,38,0.025,0.4,37,27,503,0.578125,0.0685185185185185,0.122516556291391
24,38,0.025,0.4,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
26,38,0.025,0.4,35,28,505,0.555555555555556,0.0648148148148148,0.116086235489221
28,38,0.025,0.4,30,18,510,0.625,0.0555555555555556,0.102040816326531
20,40,0.025,0.4,33,31,507,0.515625,0.0611111111111111,0.109271523178808
22,40,0.025,0.4,38,31,502,0.550724637681159,0.0703703703703704,0.124794745484401
24,40,0.025,0.4,33,23,507,0.589285714285714,0.0611111111111111,0.110738255033557
26,40,0.025,0.4,35,25,505,0.583333333333333,0.0648148148148148,0.116666666666667
28,40,0.025,0.4,35,23,505,0.603448275862069,0.0648148148148148,0.117056856187291
20,32,0.03,0.4,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
22,32,0.03,0.4,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
24,32,0.03,0.4,5,11,535,0.3125,0.00925925925925926,0.0179856115107914
26,32,0.03,0.4,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
28,32,0.03,0.4,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
20,34,0.03,0.4,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
22,34,0.03,0.4,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
24,34,0.03,0.4,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
26,34,0.03,0.4,6,7,534,0.461538461538462,0.0111111111111111,0.0216998191681736
28,34,0.03,0.4,6,8,534,0.428571428571429,0.0111111111111111,0.0216606498194946
20,36,0.03,0.4,9,9,531,0.5,0.0166666666666667,0.032258064516129
22,36,0.03,0.4,9,10,531,0.473684210526316,0.0166666666666667,0.0322003577817531
24,36,0.03,0.4,9,11,531,0.45,0.0166666666666667,0.0321428571428571
26,36,0.03,0.4,8,8,532,0.5,0.0148148148148148,0.0287769784172662
28,36,0.03,0.4,8,7,532,0.533333333333333,0.0148148148148148,0.0288288288288288
20,38,0.03,0.4,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
22,38,0.03,0.4,10,10,530,0.5,0.0185185185185185,0.0357142857142857
24,38,0.03,0.4,9,12,531,0.428571428571429,0.0166666666666667,0.0320855614973262
26,38,0.03,0.4,9,9,531,0.5,0.0166666666666667,0.032258064516129
28,38,0.03,0.4,8,9,532,0.470588235294118,0.0148148148148148,0.0287253141831239
20,40,0.03,0.4,10,9,530,0.526315789473684,0.0185185185185185,0.035778175313059
22,40,0.03,0.4,11,11,529,0.5,0.0203703703703704,0.0391459074733096
24,40,0.03,0.4,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
26,40,0.03,0.4,9,8,531,0.529411764705882,0.0166666666666667,0.0323159784560144
28,40,0.03,0.4,10,8,530,0.555555555555556,0.0185185185185185,0.03584229390681
20,32,0.005,0.5,428,3965,112,0.0974277259276121,0.792592592592593,0.17352523819177
22,32,0.005,0.5,422,3629,118,0.10417180942977,0.781481481481481,0.183837943803093
24,32,0.005,0.5,422,3598,118,0.104975124378109,0.781481481481481,0.185087719298246
26,32,0.005,0.5,428,3292,112,0.11505376344086,0.792592592592593,0.20093896713615
28,32,0.005,0.5,419,3067,121,0.120195065978199,0.775925925925926,0.208147044212618
20,34,0.005,0.5,434,3864,106,0.100977198697068,0.803703703703704,0.179412980570484
22,34,0.005,0.5,425,3627,115,0.104886475814413,0.787037037037037,0.185104529616725
24,34,0.005,0.5,418,3329,122,0.111555911395783,0.774074074074074,0.195008164217401
26,34,0.005,0.5,422,3287,118,0.113777298463198,0.781481481481481,0.198634972934808
28,34,0.005,0.5,421,3059,119,0.120977011494253,0.77962962962963,0.209452736318408
20,36,0.005,0.5,434,3900,106,0.100138440239963,0.803703703703704,0.178087812884694
22,36,0.005,0.5,437,3568,103,0.109113607990012,0.809259259259259,0.192299229922992
24,36,0.005,0.5,419,3299,121,0.112694997310382,0.775925925925926,0.196806012212306
26,36,0.005,0.5,415,3062,125,0.119355766465344,0.768518518518518,0.206621857107294
28,36,0.005,0.5,420,3047,120,0.12114219786559,0.777777777777778,0.209633142001497
20,38,0.005,0.5,438,3675,102,0.106491611962071,0.811111111111111,0.188265635074146
22,38,0.005,0.5,427,3604,113,0.105929049863557,0.790740740740741,0.186830015313936
24,38,0.005,0.5,416,3308,124,0.111707841031149,0.77037037037037,0.195121951219512
26,38,0.005,0.5,405,3087,135,0.115979381443299,0.75,0.200892857142857
28,38,0.005,0.5,402,2857,138,0.123350721080086,0.744444444444444,0.21163464069492
20,40,0.005,0.5,412,3506,128,0.105155691679428,0.762962962962963,0.18483624943921
22,40,0.005,0.5,429,3448,111,0.110652566417333,0.794444444444444,0.194249490604483
24,40,0.005,0.5,413,3348,127,0.109811220420101,0.764814814814815,0.192048360846315
26,40,0.005,0.5,406,3087,134,0.11623246492986,0.751851851851852,0.201338953632532
28,40,0.005,0.5,388,2858,152,0.119531731361676,0.718518518518519,0.204965662968833
20,32,0.01,0.5,303,1014,237,0.230068337129841,0.561111111111111,0.326332794830372
22,32,0.01,0.5,300,891,240,0.251889168765743,0.555555555555556,0.346620450606586
